customer_id,customer_name,email,phone_number,address
10156,Richard Duarte,joshuadickson@example.net,989-659-8536x6822,"5037 Daniel Field
North Donnahaven, NC 80115"
10424,Nicole Ashley,dana07@example.com,+1-482-430-9207x138,"USS Larson
FPO AE 68961"
10363,Heather Bowen,ocarter@example.org,001-819-210-3766x88521,"7452 Lori Fall Apt. 003
North Hollyside, IA 85509"
10165,Eric Ross,penny82@example.org,703-708-8400,"941 Ruiz Unions Apt. 668
Brianfurt, IL 20470"
10112,Meghan Jackson,amyhoffman@example.net,758.599.1565x048,"119 Andrew Port Apt. 300
Juanhaven, DC 24805"
10080,Chelsea Hampton,bryan56@example.net,(642)579-4805,"4767 Christian Viaduct
Johnbury, RI 80816"
10496,Wayne Gordon,adrian64@example.net,2178784406,"36518 Donna Centers Apt. 408
Danielfort, RI 40394"
10476,Karen Perez,moniquemccarty@example.net,001-894-965-5799,"9466 Nicholas Club
Kathleenchester, NH 68088"
10161,Kimberly Diaz,charles94@example.net,2004194346,"32406 Tanya Walk Apt. 854
South Kristin, MA 27036"
10482,Erica Molina,laurahubbard@example.net,001-551-603-3887,"636 Jeffery Ford
Port Davidbury, GU 91685"
10466,Thomas Long,lopezrichard@example.net,+1-358-308-3675,"72520 Thomas Causeway
Williamsstad, WV 85793"
10180,Mary Peterson,meganreyes@example.net,(817)350-7681,"87306 Long Shores
Port Laura, AR 94818"
10255,Lauren Waller,jasonlang@example.org,709-810-6391x864,"USCGC Olson
FPO AE 25983"
10155,Miguel Kelly,javierwilson@example.net,+1-918-267-3329x73252,"7315 Mahoney Divide Apt. 213
Hendersonside, AK 71544"
10342,Jack Wood,brooksjames@example.org,848.393.6887x9494,"Unit 3369 Box 4897
DPO AP 38709"
10024,Laura Thompson,kristin84@example.net,(437)560-1949,"88487 Ramirez Center
Marcusmouth, MN 76288"
10147,Sarah Reyes DDS,pleach@example.com,433.238.3922,"2708 Carla Turnpike Suite 006
Kellyshire, OK 31019"
10171,Sara Mclaughlin,aguilarstephanie@example.org,6287618942,"PSC 5983, Box 6952
APO AA 82080"
10434,Monica Joyce,april18@example.org,476-394-5826x22106,"31459 Beard Course
East Juanville, AZ 37378"
10276,Jessica Miller,dalemartinez@example.net,+1-749-533-1359x83768,"9440 Jennifer Prairie Apt. 301
Saraville, WA 58705"
10314,Victoria Matthews,swansonrobert@example.org,001-862-694-5612x872,"57246 Garcia Island Apt. 685
Williamsside, AK 33974"
